Latitude, Longitude, Altitude
5.5562425, 95.3151780, 8.7
5.5562434, 95.3151780, 9.3
5.5562449, 95.3151780, 10.2
5.5562463, 95.3151780, 11.2
5.5562472, 95.3151780, 12.2
5.5562472, 95.3151780, 13.0
5.5562472, 95.3151780, 13.5
5.5562472, 95.3151780, 14.0
5.5562472, 95.3151780, 14.3
5.5562477, 95.3151780, 14.6
5.5562472, 95.3151860, 15.0
5.5562487, 95.3151860, 15.0
5.5562596, 95.3151860, 15.1
5.5562696, 95.3151860, 15.3
5.5562754, 95.3151860, 15.4
5.5562773, 95.3151860, 15.5
5.5562773, 95.3151860, 15.4
5.5562768, 95.3151860, 15.3
5.5562773, 95.3151860, 15.7
5.5562792, 95.3151860, 15.9
5.5562873, 95.3151930, 15.9
5.5563035, 95.3152010, 16.0
5.5563107, 95.3152160, 15.2
5.5563207, 95.3152240, 16.1
5.5563321, 95.3152240, 16.8
5.5563445, 95.3152310, 16.3
5.5563579, 95.3152310, 15.9
5.5563679, 95.3152310, 15.8
5.5563798, 95.3152390, 14.8
5.5563917, 95.3152470, 15.0
5.5564046, 95.3152540, 15.2
5.5564146, 95.3152470, 15.0
5.5564246, 95.3152470, 14.2
5.5564346, 95.3152390, 14.0
5.5564446, 95.3152390, 13.9
5.5564528, 95.3152390, 13.4
5.5564637, 95.3152390, 12.4
5.5564752, 95.3152390, 11.8
5.5564876, 95.3152470, 11.4
5.5565004, 95.3152390, 11.2
5.5565124, 95.3152470, 10.8
5.5565238, 95.3152470, 10.8
5.5565343, 95.3152470, 10.8
5.5565467, 95.3152540, 10.6
5.5565557, 95.3152620, 10.8
5.5565658, 95.3152620, 10.5
5.5565772, 95.3152620, 10.1
5.5565886, 95.3152620, 10.2
5.5566001, 95.3152690, 10.6
5.5566130, 95.3152770, 10.8
5.5566235, 95.3152850, 10.9
5.5566359, 95.3152850, 11.1
5.5566478, 95.3152920, 11.1
5.5566583, 95.3153000, 11.4
5.5566683, 95.3153000, 11.4
5.5566788, 95.3153000, 11.3
5.5566897, 95.3153150, 11.0
5.5567031, 95.3153150, 11.4
5.5567150, 95.3153150, 11.5
5.5567365, 95.3153230, 11.6
5.5567484, 95.3153310, 11.6
5.5567598, 95.3153310, 11.8
5.5567741, 95.3153380, 11.6
5.5567856, 95.3153460, 12.6
5.5567975, 95.3153530, 12.7
5.5568037, 95.3153530, 12.5
5.5568075, 95.3153610, 12.4
5.5568151, 95.3153610, 12.3
5.5568271, 95.3153610, 12.1
5.5568438, 95.3153610, 12.0
5.5568585, 95.3153690, 12.5
5.5568690, 95.3153690, 13.6
5.5568829, 95.3153760, 13.5
5.5568967, 95.3153840, 13.8
5.5569091, 95.3153840, 14.6
5.5569220, 95.3153840, 14.0
5.5569344, 95.3153840, 14.0
5.5569458, 95.3153840, 13.6
5.5569563, 95.3153840, 13.5
5.5569668, 95.3153840, 13.3
5.5569801, 95.3153840, 12.9
5.5569930, 95.3153840, 12.7
5.5570049, 95.3153920, 12.9
5.5570159, 95.3153920, 13.0
5.5570283, 95.3153990, 12.8
5.5570388, 95.3153990, 12.9
5.5570488, 95.3153990, 12.2
5.5570607, 95.3153990, 11.6
5.5570736, 95.3153990, 11.0
5.5570850, 95.3154070, 10.9
5.5570965, 95.3154070, 10.8
5.5571089, 95.3154140, 10.9
5.5571227, 95.3154220, 11.2
5.5571361, 95.3154220, 11.8
5.5571499, 95.3154220, 11.8
5.5571647, 95.3154300, 11.9
5.5571775, 95.3154300, 12.6
5.5571914, 95.3154370, 12.7
5.5572176, 95.3154450, 12.7
5.5572300, 95.3154450, 13.6
5.5572433, 95.3154530, 13.3
5.5572553, 95.3154530, 13.1
5.5572686, 95.3154600, 13.1
5.5572810, 95.3154680, 14.1
5.5572944, 95.3154750, 13.8
5.5573053, 95.3154830, 14.1
5.5573153, 95.3154830, 14.6
5.5573277, 95.3154910, 14.2
5.5573397, 95.3154910, 14.2
5.5573516, 95.3154980, 13.9
5.5573635, 95.3154980, 14.3
5.5573754, 95.3155060, 14.2
5.5573864, 95.3155060, 14.4
5.5573974, 95.3155060, 14.4
5.5574079, 95.3155140, 14.1
5.5574174, 95.3155210, 14.4
5.5574284, 95.3155210, 14.2
5.5574403, 95.3155290, 14.4
5.5574512, 95.3155360, 14.4
5.5574627, 95.3155360, 14.4
5.5574722, 95.3155440, 14.1
5.5574832, 95.3155440, 13.8
5.5574951, 95.3155520, 13.9
5.5575070, 95.3155520, 14.3
5.5575190, 95.3155520, 14.3
5.5575323, 95.3155590, 14.3
5.5575442, 95.3155590, 14.5
5.5575542, 95.3155670, 14.7
5.5575671, 95.3155750, 14.5
5.5575819, 95.3155750, 14.8
5.5575933, 95.3155750, 14.8
5.5576072, 95.3155750, 14.3
5.5576205, 95.3155820, 14.3
5.5576339, 95.3155820, 14.3
5.5576487, 95.3155900, 14.2
5.5576749, 95.3156050, 14.6
5.5576878, 95.3155980, 15.1
5.5576992, 95.3156050, 14.7
5.5577102, 95.3156130, 14.5
5.5577207, 95.3156130, 14.5
5.5577345, 95.3156130, 13.9
5.5577455, 95.3156200, 14.3
5.5577602, 95.3156200, 14.7
5.5577745, 95.3156200, 15.1
5.5577879, 95.3156200, 15.1
5.5577984, 95.3156200, 15.2
5.5578094, 95.3156200, 15.1
5.5578232, 95.3156280, 15.3
5.5578351, 95.3156360, 16.2
5.5578456, 95.3156430, 16.5
5.5578570, 95.3156430, 16.8
5.5578680, 95.3156430, 16.6
5.5578790, 95.3156510, 17.1
