 Units of measure: Mols m-2 d-1
 Month;Alt;Azi;Altitude;Azimuth; SkySky;SkyTop;FolTop;FolSky;Total ;Sky   ;  Mask;    Total;   Gap Can; Gap Topo;Gap Both;Gap Can; Gap Topo;Gap Both;Canopy  ;Site    ;Id_UOC ; Id_SOC;  Above ;  Above  ; Above ;  Mask  ;  Mask   ; Mask ;   Trans ;  Trans  ; Trans
      ;Bin;Bin;        ;       ; Pixels;Pixels;Pixels;Pixels;Pixels;Area  ;  Area;    Area ;   Diffuse; Diffuse ;Diffuse ;Direct ; Direct  ;Direct  ;Openness;Openness;       ;       ;  Direct;  Diffuse; Total ;  Direct;  Diffuse; Total;   Direct;  Diffuse; Total
 All;  6; 15; 55.0000;145.0000;  2576;     0;     0; 19836; 22412;0.002777;0.000000;0.002777;0.114938;1.000000;0.114938;0.116381;1.000000;0.116381;0.031921;0.031921;0.004533;0.005129;0.233428;0.066370;0.299798;0.233428;0.066370;0.299798;0.027167;0.007628;0.034795
 All;  6; 16; 55.0000;155.0000;  2368;     0;     0; 20045; 22413;0.002777;0.000000;0.002777;0.105653;1.000000;0.105653;0.088339;1.000000;0.088339;0.029342;0.029342;0.004533;0.005129;0.203652;0.066370;0.270021;0.203652;0.066370;0.270021;0.017990;0.007012;0.025003
 All;  6; 17; 55.0000;165.0000;   157;     0;     0; 22254; 22411;0.002777;0.000000;0.002777;0.007005;1.000000;0.007005;0.005369;1.000000;0.005369;0.001946;0.001946;0.004533;0.005129;0.191840;0.066370;0.258210;0.191840;0.066370;0.258210;0.001030;0.000465;0.001495
 All;  6; 18; 55.0000;175.0000;  2839;     0;     0; 19567; 22406;0.002777;0.000000;0.002777;0.126707;1.000000;0.126707;0.114684;1.000000;0.114684;0.035190;0.035190;0.004533;0.005129;0.187779;0.066370;0.254149;0.187779;0.066370;0.254149;0.021535;0.008409;0.029945
 All;  6; 19; 55.0000;185.0000;  2073;     0;     0; 20339; 22412;0.002777;0.000000;0.002777;0.092495;1.000000;0.092495;0.092899;1.000000;0.092899;0.025688;0.025688;0.004533;0.005129;0.187559;0.066370;0.253929;0.187559;0.066370;0.253929;0.017424;0.006139;0.023563
 All;  6; 20; 55.0000;195.0000;   132;     0;     0; 22280; 22412;0.002777;0.000000;0.002777;0.005890;1.000000;0.005890;0.008665;1.000000;0.008665;0.001636;0.001636;0.004533;0.005129;0.191846;0.066370;0.258216;0.191846;0.066370;0.258216;0.001662;0.000391;0.002053
 All;  6; 21; 55.0000;205.0000;  1717;     0;     0; 20694; 22411;0.002777;0.000000;0.002777;0.076614;1.000000;0.076614;0.075334;1.000000;0.075334;0.021278;0.021278;0.004533;0.005129;0.203233;0.066370;0.269603;0.203233;0.066370;0.269603;0.015310;0.005085;0.020395
 All;  6; 22; 55.0000;215.0000;  1316;     0;     0; 21100; 22416;0.002777;0.000000;0.002777;0.058708;1.000000;0.058708;0.060630;1.000000;0.060630;0.016305;0.016305;0.004533;0.005129;0.234852;0.066370;0.301222;0.234852;0.066370;0.301222;0.014239;0.003896;0.018135
 All;  6; 23; 55.0000;225.0000;   242;     0;     0; 22173; 22415;0.002777;0.000000;0.002777;0.010796;1.000000;0.010796;0.011203;1.000000;0.011203;0.002998;0.002998;0.004533;0.005129;0.318373;0.066370;0.384743;0.318373;0.066370;0.384743;0.003567;0.000717;0.004283
 All;  6; 24; 55.0000;235.0000;   981;     0;     0; 21431; 22412;0.002777;0.000000;0.002777;0.043771;1.000000;0.043771;0.038676;1.000000;0.038676;0.012156;0.012156;0.004533;0.005129;0.269063;0.066370;0.335432;0.269063;0.066370;0.335432;0.010406;0.002905;0.013311
 All;  6; 25; 55.0000;245.0000;   534;     0;     0; 21879; 22413;0.002777;0.000000;0.002777;0.023825;1.000000;0.023825;0.031423;1.000000;0.031423;0.006617;0.006617;0.004533;0.005129;0.097377;0.066370;0.163746;0.097377;0.066370;0.163746;0.003060;0.001581;0.004641
 All;  6; 26; 55.0000;255.0000;   224;     0;     0; 22187; 22411;0.002777;0.000000;0.002777;0.009995;1.000000;0.009995;1.000000;1.000000;1.000000;0.002776;0.002776;0.004533;0.005129;0.000000;0.066370;0.066370;0.000000;0.066370;0.066370;0.000000;0.000663;0.000663
 All;  6; 27; 55.0000;265.0000;   661;     0;     0; 21745; 22406;0.002777;0.000000;0.002777;0.029501;1.000000;0.029501;1.000000;1.000000;1.000000;0.008193;0.008193;0.004533;0.005129;0.000000;0.066370;0.066370;0.000000;0.066370;0.066370;0.000000;0.001958;0.001958
 All;  6; 28; 55.0000;275.0000;   252;     0;     0; 22160; 22412;0.002777;0.000000;0.002777;0.011244;1.000000;0.011244;1.000000;1.000000;1.000000;0.003123;0.003123;0.004533;0.005129;0.000000;0.066370;0.066370;0.000000;0.066370;0.066370;0.000000;0.000746;0.000746
 All;  6; 29; 55.0000;285.0000;   329;     0;     0; 22083; 22412;0.002777;0.000000;0.002777;0.014680;1.000000;0.014680;1.000000;1.000000;1.000000;0.004077;0.004077;0.004533;0.005129;0.000000;0.066370;0.066370;0.000000;0.066370;0.066370;0.000000;0.000974;0.000974
 All;  6; 30; 55.0000;295.0000;    26;     0;     0; 22385; 22411;0.002777;0.000000;0.002777;0.001160;1.000000;0.001160;1.000000;1.000000;1.000000;0.000322;0.000322;0.004533;0.005129;0.000000;0.066370;0.066370;0.000000;0.066370;0.066370;0.000000;0.000077;0.000077
 All;  6; 31; 55.0000;305.0000;   673;     0;     0; 21743; 22416;0.002777;0.000000;0.002777;0.030023;1.000000;0.030023;1.000000;1.000000;1.000000;0.008338;0.008338;0.004533;0.005129;0.000000;0.066370;0.066370;0.000000;0.066370;0.066370;0.000000;0.001993;0.001993
 All;  6; 32; 55.0000;315.0000;   584;     0;     0; 21831; 22415;0.002777;0.000000;0.002777;0.026054;1.000000;0.026054;1.000000;1.000000;1.000000;0.007236;0.007236;0.004533;0.005129;0.000000;0.066370;0.066370;0.000000;0.066370;0.066370;0.000000;0.001729;0.001729
 All;  6; 33; 55.0000;325.0000;   458;     0;     0; 21954; 22412;0.002777;0.000000;0.002777;0.020435;1.000000;0.020435;1.000000;1.000000;1.000000;0.005675;0.005675;0.004533;0.005129;0.000000;0.066370;0.066370;0.000000;0.066370;0.066370;0.000000;0.001356;0.001356
 All;  6; 34; 55.0000;335.0000;   397;     0;     0; 22016; 22413;0.002777;0.000000;0.002777;0.017713;1.000000;0.017713;1.000000;1.000000;1.000000;0.004919;0.004919;0.004533;0.005129;0.000000;0.066370;0.066370;0.000000;0.066370;0.066370;0.000000;0.001176;0.001176
 All;  6; 35; 55.0000;345.0000;  3386;     0;     0; 19025; 22411;0.002777;0.000000;0.002777;0.151087;1.000000;0.151087;1.000000;1.000000;1.000000;0.041960;0.041960;0.004533;0.005129;0.000000;0.066370;0.066370;0.000000;0.066370;0.066370;0.000000;0.010028;0.010028
 All;  6; 36; 55.0000;355.0000;  7863;     0;     0; 14543; 22406;0.002777;0.000000;0.002777;0.350933;1.000000;0.350933;1.000000;1.000000;1.000000;0.097463;0.097463;0.004533;0.005129;0.000000;0.066370;0.066370;0.000000;0.066370;0.066370;0.000000;0.023291;0.023291
 All;  7;  1; 65.0000;  5.0000; 15840;     0;     0;   171; 16011;0.002046;0.000000;0.002046;0.989320;1.000000;0.989320;1.000000;1.000000;1.000000;0.202446;0.202446;0.003695;0.004457;0.000000;0.054105;0.054105;0.000000;0.054105;0.054105;0.000000;0.053527;0.053527
